FlightID,RouteCode,Origin,Destination,RouteType,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost,OriginLatitude,OriginLongitude,DestinationLatitude,DestinationLongitude
FL100046,PNQ-BLR,PNQ,BLR,Domestic,2025-05-25,92,Airbus A321,220,174,842175.06,518467.27,18.5821,73.9197,13.1986,77.7066
FL100047,DEL-MAA,DEL,MAA,Domestic,2025-07-12,162,Airbus A321,220,147,924859.36,517039.08,28.5562,77.1,12.9941,80.1709
FL100048,COK-DEL,COK,DEL,Domestic,2025-08-25,181,Boeing 787,250,175,1113827.1,645173.32,10.152,76.4019,28.5562,77.1
FL100049,PNQ-DEL,PNQ,DEL,Domestic,2025-11-16,130,Airbus A320,180,136,712604.3,607537.13,18.5821,73.9197,28.5562,77.1
FL100050,GOI-DEL,GOI,DEL,Domestic,2025-02-28,138,Airbus A321,220,204,1078859.85,991778.18,15.3808,73.8314,28.5562,77.1
FL100051,HYD-MAA,HYD,MAA,Domestic,2025-10-22,86,Airbus A320,180,119,478345.04,375010.36,17.2403,78.4294,12.9941,80.1709
FL100052,HYD-COK,HYD,COK,Domestic,2025-07-26,94,Airbus A320,180,145,600897.01,416548.12,17.2403,78.4294,10.152,76.4019
FL100053,AMD-DEL,AMD,DEL,Domestic,2025-11-26,89,Airbus A320,180,120,533722.93,440793.62,23.0772,72.6347,28.5562,77.1
FL100054,MAA-COK,MAA,COK,Domestic,2025-11-30,67,Airbus A321,220,213,899697.85,503432.15,12.9941,80.1709,10.152,76.4019
FL100055,LKO-DEL,LKO,DEL,Domestic,2025-11-01,70,Airbus A320,180,149,424057.98,734010.3,26.7606,80.8893,28.5562,77.1
FL100056,PNQ-BLR,PNQ,BLR,Domestic,2025-04-16,90,Airbus A320,180,106,367879.72,468966.6,18.5821,73.9197,13.1986,77.7066
FL100057,HYD-CCU,HYD,CCU,Domestic,2025-09-02,123,Airbus A320,180,121,604581.69,437175.24,17.2403,78.4294,22.6547,88.4467
FL100058,BOM-DEL,BOM,DEL,Domestic,2025-05-22,123,Boeing 737,174,102,440616.8,508098.11,19.0896,72.8656,28.5562,77.1
FL100059,BOM-SIN,BOM,SIN,International,2025-11-23,332,Boeing 787,250,195,2864441.51,1895900.11,19.0896,72.8656,1.3644,103.9915
FL100060,AMD-BLR,AMD,BLR,Domestic,2025-08-10,124,Airbus A320,180,127,681021.06,532801.92,23.0772,72.6347,13.1986,77.7066
FL100061,BLR-COK,BLR,COK,Domestic,2025-05-06,50,Airbus A321,220,179,687632.74,412712.47,13.1986,77.7066,10.152,76.4019
FL100062,AMD-DEL,AMD,DEL,Domestic,2025-06-30,84,Boeing 737,174,115,650337.1,465027.65,23.0772,72.6347,28.5562,77.1
FL100063,BOM-MAA,BOM,MAA,Domestic,2025-03-24,110,Airbus A320,180,124,541407.42,489618.88,19.0896,72.8656,12.9941,80.1709
FL100064,BLR-KUL,BLR,KUL,International,2025-07-02,251,Airbus A321,220,159,2116116.04,1646870.37,13.1986,77.7066,2.7456,101.7072
FL100065,BOM-FRA,BOM,FRA,International,2025-03-12,515,Boeing 777,350,294,4853092.54,2542370.8,19.0896,72.8656,50.0379,8.5622
FL100066,BOM-HYD,BOM,HYD,Domestic,2025-08-13,93,Boeing 737,174,99,378148.93,391164.81,19.0896,72.8656,17.2403,78.4294
FL100067,BLR-PNQ,BLR,PNQ,Domestic,2025-11-16,90,Boeing 737,174,122,523209.43,505397.77,13.1986,77.7066,18.5821,73.9197
FL100068,COK-DEL,COK,DEL,Domestic,2025-02-05,173,Airbus A321,220,149,917426.59,549121.72,10.152,76.4019,28.5562,77.1
FL100069,BLR-CCU,BLR,CCU,Domestic,2025-06-12,153,Airbus A321,220,159,851604.27,553353.47,13.1986,77.7066,22.6547,88.4467
FL100070,PNQ-BLR,PNQ,BLR,Domestic,2025-11-15,87,Airbus A320,180,173,653018.14,409285.83,18.5821,73.9197,13.1986,77.7066
FL100071,HYD-CCU,HYD,CCU,Domestic,2025-11-06,123,Airbus A321,220,181,969722.6,530485.18,17.2403,78.4294,22.6547,88.4467
FL100072,MAA-DXB,MAA,DXB,International,2025-06-01,251,Boeing 787,250,162,2041377.74,1821477.23,12.9941,80.1709,25.2532,55.3657
FL100073,DEL-SYD,DEL,SYD,International,2025-04-14,805,Airbus A350,315,209,3936490.07,3366275.9,28.5562,77.1,-33.9399,151.1753
FL100074,DEL-BKK,DEL,BKK,International,2025-10-30,237,Boeing 787,250,133,1634762.12,1681529.4,28.5562,77.1,13.69,100.7501
FL100075,GOI-DEL,GOI,DEL,Domestic,2025-02-07,141,Boeing 737,174,141,702671.58,993527.11,15.3808,73.8314,28.5562,77.1
FL100076,DEL-HYD,DEL,HYD,Domestic,2025-05-29,119,Boeing 737,174,147,623473.99,568396.17,28.5562,77.1,17.2403,78.4294
FL100077,BOM-CDG,BOM,CDG,International,2025-08-13,545,Boeing 787,250,169,2876658.14,2302901.68,19.0896,72.8656,49.0097,2.5479
FL100078,BOM-DEL,BOM,DEL,Domestic,2025-10-22,124,Airbus A320,180,139,659194.28,540131.75,19.0896,72.8656,28.5562,77.1
FL100079,BLR-CCU,BLR,CCU,Domestic,2025-02-26,134,Airbus A320,180,123,590109.15,534959.62,13.1986,77.7066,22.6547,88.4467
FL100080,BLR-MAA,BLR,MAA,Domestic,2025-01-12,61,Airbus A321,220,147,593403.59,456287.74,13.1986,77.7066,12.9941,80.1709
FL100081,LKO-DEL,LKO,DEL,Domestic,2025-04-30,67,Airbus A320,180,155,719237.74,645480.08,26.7606,80.8893,28.5562,77.1
FL100082,MAA-COK,MAA,COK,Domestic,2025-08-06,71,Boeing 737,174,97,422214.81,378050.57,12.9941,80.1709,10.152,76.4019
FL100083,BOM-MAA,BOM,MAA,Domestic,2025-10-30,108,Boeing 737,174,138,745009.29,493225.65,19.0896,72.8656,12.9941,80.1709
FL100084,BOM-DEL,BOM,DEL,Domestic,2025-10-12,116,Airbus A320,180,165,830997.44,452021.75,19.0896,72.8656,28.5562,77.1
FL100085,GOI-BOM,GOI,BOM,Domestic,2025-04-30,54,Airbus A320,180,129,568915.86,893501.32,15.3808,73.8314,19.0896,72.8656
FL100086,MAA-COK,MAA,COK,Domestic,2025-11-20,79,Boeing 737,174,142,621516.95,454333.81,12.9941,80.1709,10.152,76.4019
FL100087,GOI-BOM,GOI,BOM,Domestic,2025-03-13,66,Airbus A320,180,159,654721.13,954184.41,15.3808,73.8314,19.0896,72.8656
FL100088,PNQ-DEL,PNQ,DEL,Domestic,2025-08-27,126,Airbus A320,180,129,653264.72,526498.79,18.5821,73.9197,28.5562,77.1
FL100089,DEL-BKK,DEL,BKK,International,2025-07-01,246,Airbus A321,220,177,2021539.08,1620980.18,28.5562,77.1,13.69,100.7501
FL100090,DEL-DOH,DEL,DOH,International,2025-07-20,218,Boeing 787,250,189,2697943.59,1627373.59,28.5562,77.1,25.2731,51.6081
FL100091,DEL-MAA,DEL,MAA,Domestic,2025-12-31,167,Airbus A320,180,175,1115244.14,576741.67,28.5562,77.1,12.9941,80.1709
FL100092,DEL-CDG,DEL,CDG,International,2025-10-24,519,Airbus A350,315,286,4716786.13,2336093.8,28.5562,77.1,49.0097,2.5479
FL100093,BLR-DXB,BLR,DXB,International,2025-09-15,230,Boeing 787,250,197,2814827.81,1666466.52,13.1986,77.7066,25.2532,55.3657
FL100094,GOI-DEL,GOI,DEL,Domestic,2025-01-11,138,Airbus A320,180,165,965491.01,898118.52,15.3808,73.8314,28.5562,77.1
FL100095,JAI-DEL,JAI,DEL,Domestic,2025-09-27,54,Boeing 737,174,127,352218.74,728400.04,26.8242,75.8122,28.5562,77.1
FL100096,PNQ-DEL,PNQ,DEL,Domestic,2025-06-24,126,Airbus A320,180,119,705005.01,520828.63,18.5821,73.9197,28.5562,77.1
FL100097,DEL-DOH,DEL,DOH,International,2025-03-30,228,Airbus A321,220,203,2743386.22,1922920.82,28.5562,77.1,25.2731,51.6081
FL100098,DEL-AMD,DEL,AMD,Domestic,2025-07-30,90,Airbus A321,220,166,751014.66,484356.18,28.5562,77.1,23.0772,72.6347
FL100099,GOI-BOM,GOI,BOM,Domestic,2025-11-07,61,Airbus A321,220,206,592088.41,968025.68,15.3808,73.8314,19.0896,72.8656
FL100100,DEL-SIN,DEL,SIN,International,2025-01-25,343,Airbus A321,220,124,1738028.38,1991703.56,28.5562,77.1,1.3644,103.9915
FL100101,DEL-BLR,DEL,BLR,Domestic,2025-08-09,152,Airbus A320,180,154,1106136.32,670188.5,28.5562,77.1,13.1986,77.7066
FL100102,GOI-BOM,GOI,BOM,Domestic,2025-07-07,73,Airbus A320,180,123,362984.46,907097.1,15.3808,73.8314,19.0896,72.8656
FL100103,HYD-CCU,HYD,CCU,Domestic,2025-12-02,122,Airbus A320,180,141,601166.11,486834.04,17.2403,78.4294,22.6547,88.4467
FL100104,HYD-DXB,HYD,DXB,International,2025-12-10,221,Boeing 787,250,165,2266429.92,1701615.78,17.2403,78.4294,25.2532,55.3657
FL100105,BOM-HYD,BOM,HYD,Domestic,2025-10-06,86,Airbus A320,180,144,685947.16,425987.98,19.0896,72.8656,17.2403,78.4294
FL100106,GOI-BOM,GOI,BOM,Domestic,2025-05-30,64,Airbus A320,180,156,516265.1,864674.68,15.3808,73.8314,19.0896,72.8656
FL100107,BOM-LHR,BOM,LHR,International,2025-08-06,557,Airbus A350,315,253,4386614.94,2469210.04,19.0896,72.8656,51.47,-0.4543
FL100108,GOI-DEL,GOI,DEL,Domestic,2025-09-28,155,Airbus A320,180,142,808534.87,932974.3,15.3808,73.8314,28.5562,77.1
FL100109,BLR-COK,BLR,COK,Domestic,2025-06-16,59,Boeing 737,174,111,354121.25,449048.03,13.1986,77.7066,10.152,76.4019
FL100110,JAI-DEL,JAI,DEL,Domestic,2025-06-15,45,Boeing 737,174,140,362753.66,685762.16,26.8242,75.8122,28.5562,77.1
FL100111,BLR-COK,BLR,COK,Domestic,2025-05-19,50,Airbus A321,220,201,849345.21,405820.11,13.1986,77.7066,10.152,76.4019
FL100112,LKO-DEL,LKO,DEL,Domestic,2025-09-01,69,Boeing 737,174,115,613855.36,684422.56,26.7606,80.8893,28.5562,77.1
FL100113,DEL-BLR,DEL,BLR,Domestic,2025-11-18,167,Airbus A321,220,150,974109.18,582754.74,28.5562,77.1,13.1986,77.7066
FL100114,BLR-MAA,BLR,MAA,Domestic,2025-09-24,55,Boeing 737,174,129,418841.99,369631.21,13.1986,77.7066,12.9941,80.1709
FL100115,BOM-BLR,BOM,BLR,Domestic,2025-09-14,80,Airbus A321,220,158,837453.28,502627.37,19.0896,72.8656,13.1986,77.7066
FL100116,BOM-MAA,BOM,MAA,Domestic,2025-12-18,108,Boeing 737,174,125,621716.64,437166.05,19.0896,72.8656,12.9941,80.1709
FL100117,PNQ-DEL,PNQ,DEL,Domestic,2025-04-24,127,Boeing 737,174,142,537200.33,510997.2,18.5821,73.9197,28.5562,77.1
FL100118,DEL-AMD,DEL,AMD,Domestic,2025-05-14,92,Boeing 737,174,136,744139.12,457610.32,28.5562,77.1,23.0772,72.6347
FL100119,AMD-DEL,AMD,DEL,Domestic,2025-12-11,78,Airbus A320,180,138,699785.02,386361.91,23.0772,72.6347,28.5562,77.1
FL100120,JAI-DEL,JAI,DEL,Domestic,2025-08-10,48,Airbus A320,180,114,484868.86,714184.17,26.8242,75.8122,28.5562,77.1
FL100121,DEL-BKK,DEL,BKK,International,2025-02-02,255,Airbus A321,220,176,2467466.69,1685495.75,28.5562,77.1,13.69,100.7501
FL100122,BLR-PNQ,BLR,PNQ,Domestic,2025-10-27,84,Boeing 737,174,166,613702.41,403477.63,13.1986,77.7066,18.5821,73.9197
FL100123,BLR-CCU,BLR,CCU,Domestic,2025-03-01,151,Airbus A320,180,142,782797.84,513267.46,13.1986,77.7066,22.6547,88.4467
FL100124,BLR-CCU,BLR,CCU,Domestic,2025-09-22,151,Boeing 737,174,146,871486.74,454035.58,13.1986,77.7066,22.6547,88.4467
FL100125,BOM-CCU,BOM,CCU,Domestic,2025-10-26,150,Boeing 737,174,146,696446.9,580942.24,19.0896,72.8656,22.6547,88.4467
FL100126,JAI-DEL,JAI,DEL,Domestic,2025-11-18,50,Airbus A320,180,125,498185.44,623978.92,26.8242,75.8122,28.5562,77.1
FL100127,BLR-SIN,BLR,SIN,International,2025-06-01,263,Boeing 737,174,134,2069298.86,1520786.52,13.1986,77.7066,1.3644,103.9915
FL100128,MAA-COK,MAA,COK,Domestic,2025-02-15,69,Airbus A321,220,183,743887.25,443396.7,12.9941,80.1709,10.152,76.4019
FL100129,PNQ-DEL,PNQ,DEL,Domestic,2025-06-21,114,Boeing 737,174,125,652702.78,468755.31,18.5821,73.9197,28.5562,77.1
FL100130,DEL-SYD,DEL,SYD,International,2025-11-16,801,Boeing 777,350,234,4787444.07,3388607.97,28.5562,77.1,-33.9399,151.1753
FL100131,COK-BOM,COK,BOM,Domestic,2025-03-16,105,Airbus A321,220,125,567573.9,530308.35,10.152,76.4019,19.0896,72.8656
FL100132,BOM-DXB,BOM,DXB,International,2025-04-11,179,Airbus A320,180,136,1682308.85,1395500.85,19.0896,72.8656,25.2532,55.3657
FL100133,DEL-BKK,DEL,BKK,International,2025-07-24,239,Boeing 737,174,127,1660492.77,1593016.98,28.5562,77.1,13.69,100.7501
FL100134,DEL-CCU,DEL,CCU,Domestic,2025-07-02,124,Boeing 737,174,122,585139.17,483212.66,28.5562,77.1,22.6547,88.4467
FL100135,JAI-DEL,JAI,DEL,Domestic,2025-02-01,52,Airbus A320,180,140,470339.32,676291.12,26.8242,75.8122,28.5562,77.1
FL100136,COK-DEL,COK,DEL,Domestic,2025-06-12,195,Airbus A321,220,150,914242.78,545049.36,10.152,76.4019,28.5562,77.1
FL100137,DEL-LHR,DEL,LHR,International,2025-03-08,525,Boeing 787,250,192,3679780.61,2272003.09,28.5562,77.1,51.47,-0.4543
FL100138,BLR-COK,BLR,COK,Domestic,2025-08-30,57,Airbus A321,220,150,541093.83,378764.55,13.1986,77.7066,10.152,76.4019
FL100139,LKO-DEL,LKO,DEL,Domestic,2025-11-27,66,Airbus A320,180,166,583789.58,689805.94,26.7606,80.8893,28.5562,77.1
FL100140,GOI-BOM,GOI,BOM,Domestic,2025-11-25,80,Airbus A321,220,171,694525.59,894318.03,15.3808,73.8314,19.0896,72.8656
FL100141,HYD-CCU,HYD,CCU,Domestic,2025-01-05,125,Airbus A320,180,155,566550.83,503473.48,17.2403,78.4294,22.6547,88.4467
FL100142,BOM-CCU,BOM,CCU,Domestic,2025-09-19,150,Boeing 737,174,139,717251.68,593080.95,19.0896,72.8656,22.6547,88.4467
FL100143,BLR-PNQ,BLR,PNQ,Domestic,2025-02-05,90,Boeing 737,174,138,528158.44,435030.54,13.1986,77.7066,18.5821,73.9197
FL100144,DEL-SYD,DEL,SYD,International,2025-10-29,797,Airbus A350,315,246,5456000.04,3359417.86,28.5562,77.1,-33.9399,151.1753
FL100145,DEL-CCU,DEL,CCU,Domestic,2025-04-28,130,Boeing 737,174,147,750130.49,493220.63,28.5562,77.1,22.6547,88.4467
FL100146,BOM-CCU,BOM,CCU,Domestic,2025-11-29,144,Airbus A320,180,135,789298.03,456781.45,19.0896,72.8656,22.6547,88.4467
FL100147,BLR-PNQ,BLR,PNQ,Domestic,2025-03-25,89,Airbus A321,220,199,804148.59,454448.86,13.1986,77.7066,18.5821,73.9197
FL100148,BOM-CCU,BOM,CCU,Domestic,2025-12-11,169,Boeing 737,174,125,762747.36,502604.56,19.0896,72.8656,22.6547,88.4467
FL100149,BLR-HYD,BLR,HYD,Domestic,2025-08-06,67,Boeing 737,174,123,446647.4,374280.75,13.1986,77.7066,17.2403,78.4294
FL100150,DEL-DOH,DEL,DOH,International,2025-04-06,216,Boeing 737,174,91,1199021.08,1431134.8,28.5562,77.1,25.2731,51.6081
FL100151,BLR-CCU,BLR,CCU,Domestic,2025-10-08,145,Airbus A321,220,182,944427.77,567022.43,13.1986,77.7066,22.6547,88.4467
FL100152,PNQ-BLR,PNQ,BLR,Domestic,2025-12-24,96,Airbus A320,180,159,582572.23,471221.4,18.5821,73.9197,13.1986,77.7066
FL100153,DEL-AMD,DEL,AMD,Domestic,2025-12-21,89,Airbus A321,220,168,701768.43,505043.34,28.5562,77.1,23.0772,72.6347
FL100154,LKO-DEL,LKO,DEL,Domestic,2025-10-27,75,Airbus A320,180,130,421940.6,665713.11,26.7606,80.8893,28.5562,77.1
FL100155,DEL-BLR,DEL,BLR,Domestic,2025-10-28,146,Boeing 737,174,161,945956.39,561153.75,28.5562,77.1,13.1986,77.7066
FL100156,BLR-DXB,BLR,DXB,International,2025-01-20,220,Boeing 737,174,139,1955028.67,1479254.29,13.1986,77.7066,25.2532,55.3657
FL100157,HYD-COK,HYD,COK,Domestic,2025-03-04,93,Airbus A320,180,161,587762.9,453065.18,17.2403,78.4294,10.152,76.4019
FL100158,DEL-MAA,DEL,MAA,Domestic,2025-07-09,164,Boeing 737,174,139,758844.48,604813.23,28.5562,77.1,12.9941,80.1709
FL100159,DEL-DXB,DEL,DXB,International,2025-11-26,202,Boeing 737,174,131,1846528.59,1426684.68,28.5562,77.1,25.2532,55.3657
FL100160,PNQ-DEL,PNQ,DEL,Domestic,2025-11-07,121,Airbus A320,180,163,892184.45,511784.24,18.5821,73.9197,28.5562,77.1
FL100161,HYD-COK,HYD,COK,Domestic,2025-08-09,103,Boeing 737,174,104,438890.82,455450.57,17.2403,78.4294,10.152,76.4019
FL100162,DEL-AMD,DEL,AMD,Domestic,2025-08-31,93,Boeing 737,174,116,398967.26,415415.88,28.5562,77.1,23.0772,72.6347
FL100163,MAA-DXB,MAA,DXB,International,2025-05-22,242,Boeing 737,174,106,1421462.35,1562475.18,12.9941,80.1709,25.2532,55.3657
FL100164,BLR-PNQ,BLR,PNQ,Domestic,2025-11-11,78,Boeing 737,174,122,560710.22,357342.4,13.1986,77.7066,18.5821,73.9197
FL100165,BOM-BLR,BOM,BLR,Domestic,2025-10-13,99,Boeing 737,174,161,730978.51,507157.75,19.0896,72.8656,13.1986,77.7066
FL100166,DEL-SYD,DEL,SYD,International,2025-01-14,804,Boeing 787,250,183,3880417.64,3259924.49,28.5562,77.1,-33.9399,151.1753
FL100167,BOM-BLR,BOM,BLR,Domestic,2025-12-17,88,Airbus A320,180,168,774679.72,385531.43,19.0896,72.8656,13.1986,77.7066
FL100168,BOM-CCU,BOM,CCU,Domestic,2025-01-27,168,Airbus A321,220,183,980099.3,547947.66,19.0896,72.8656,22.6547,88.4467
FL100169,MAA-CCU,MAA,CCU,Domestic,2025-03-16,132,Airbus A320,180,161,900796.43,504045.92,12.9941,80.1709,22.6547,88.4467
FL100170,DEL-CCU,DEL,CCU,Domestic,2025-08-31,126,Boeing 737,174,104,537771.18,458393.33,28.5562,77.1,22.6547,88.4467
FL100171,BLR-COK,BLR,COK,Domestic,2025-04-20,65,Airbus A321,220,177,593974.37,459827.24,13.1986,77.7066,10.152,76.4019
FL100172,PNQ-BLR,PNQ,BLR,Domestic,2025-06-06,89,Airbus A320,180,137,599781.28,459096.52,18.5821,73.9197,13.1986,77.7066
FL100173,DEL-SYD,DEL,SYD,International,2025-04-26,796,Boeing 777,350,310,7095406.18,3439360.36,28.5562,77.1,-33.9399,151.1753
FL100174,DEL-CDG,DEL,CDG,International,2025-12-08,515,Boeing 787,250,174,3326612.4,2294823.39,28.5562,77.1,49.0097,2.5479
FL100175,BOM-HYD,BOM,HYD,Domestic,2025-06-07,80,Airbus A320,180,139,621569.92,425525.37,19.0896,72.8656,17.2403,78.4294
FL100176,BOM-LHR,BOM,LHR,International,2025-10-30,568,Airbus A350,315,267,5179530.39,2497449.05,19.0896,72.8656,51.47,-0.4543
FL100177,DEL-HYD,DEL,HYD,Domestic,2025-08-30,126,Boeing 737,174,116,658793.47,588501.06,28.5562,77.1,17.2403,78.4294
FL100178,DEL-SIN,DEL,SIN,International,2025-06-15,350,Airbus A321,220,120,1933601.66,1895276.68,28.5562,77.1,1.3644,103.9915
FL100179,BLR-CCU,BLR,CCU,Domestic,2025-09-29,150,Airbus A320,180,138,636557.72,566511.7,13.1986,77.7066,22.6547,88.4467
FL100180,COK-DEL,COK,DEL,Domestic,2025-02-28,183,Airbus A321,220,180,1116298.88,609941.59,10.152,76.4019,28.5562,77.1
FL100181,COK-DEL,COK,DEL,Domestic,2025-08-24,190,Boeing 737,174,130,872259.69,486026.54,10.152,76.4019,28.5562,77.1
FL100182,BOM-LHR,BOM,LHR,International,2025-11-02,549,Airbus A350,315,274,5099606.77,2410137.33,19.0896,72.8656,51.47,-0.4543
